date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-03-26,0.6735615796138481,0.3264384203861519,1.0,1.2212997708238864,0.6494496382083521,0.6906634710109534,0.3093365289890466,0.3505503617916479,1.0,1.0,1.1924057831901356,1.2482090662185255
2022-03-27,0.6921198912380346,0.30788010876196537,1.0,1.2273971347971482,0.66711231933866,0.7093697170578935,0.29063028294210647,0.33288768066134,1.0,1.0,1.1976385245701904,1.255878088067015
2022-03-28,0.710045819397558,0.28995418060244205,1.0,1.2332867281373476,0.6842915014071,0.7273580423775097,0.2726419576224903,0.31570849859289996,1.0,1.0,1.2027280246422247,1.263258877158231
2022-03-29,0.7273099085094528,0.27269009149054724,1.0,1.238958873163992,0.7009568203197291,0.7446031505777165,0.25539684942228347,0.29904317968027094,1.0,1.0,1.2076652877475575,1.2703366217103689
2022-03-30,0.7438896824417819,0.2561103175582181,1.0,1.2444061853067656,0.7170829152817735,0.7610876032593351,0.2389123967406649,0.2829170847182265,1.0,1.0,1.2124428005036356,1.2771004263808776
2022-03-31,0.7597693492831542,0.2402306507168458,1.0,1.2496234761070664,0.7326493651228837,0.7768013312297047,0.22319866877029526,0.2673506348771163,1.0,1.0,1.2170545129397705,1.283543115092797
2022-04-01,0.7749394095130042,0.22506059048699578,1.0,1.2546076244817035,0.7476405486023405,0.7917410532101847,0.20825894678981527,0.2523594513976595,1.0,1.0,1.2214957971111946,1.2896609706843496
2022-04-02,0.789396189680888,0.21060381031911202,1.0,1.259357423512459,0.7620454396821449,0.8059096304697936,0.19409036953020642,0.2379545603178551,1.0,1.0,1.2257633864467192,1.2954534283838193
2022-04-03,0.8031413230557379,0.19685867694426207,1.0,1.2638734098125415,0.7758573493626446,0.8193153836468989,0.18068461635310107,0.2241426506373554,1.0,1.0,1.2298552992650238,1.3009227392550755
2022-04-04,0.8161811972493744,0.18381880275062557,1.0,1.2681576820423774,0.7890736257632782,0.831971395063441,0.16802860493655902,0.21092637423672178,1.0,1.0,1.2337707499206534,1.3060736182302255
2022-04-05,0.828526386778877,0.17147361322112298,1.0,1.27221371447704,0.8016953237778743,0.8438948164114702,0.15610518358852976,0.19830467622212566,1.0,1.0,1.2375100509361827,1.3109128893813753
2022-04-06,0.8401910861254762,0.15980891387452378,1.0,1.2760461707368105,0.8137268549280604,0.8551061980784179,0.14489380192158208,0.1862731450719396,1.0,1.0,1.2410745092678779,1.315449138897171
2022-04-07,0.8511925562650254,0.14880744373497456,1.0,1.279660721943849,0.8251756270706752,0.8656288528018453,0.13437114719815468,0.17482437292932484,1.0,1.0,1.2444663195655048,1.3196923840000263
2022-04-08,0.8615505950469566,0.13844940495304336,1.0,1.2830638727143258,0.8360516824731425,0.8754882629770991,0.12451173702290086,0.16394831752685746,1.0,1.0,1.2476884569486342,1.3236537639039856
